code;type_diplôme;q6_7;q6_8;q6_9a;q6_9b;q6_9c;q6_14_6
2;LICENCE PROFESSIONNELLE;4;2;22;;Collinée;KERMENE
3;LICENCE PROFESSIONNELLE;4;7;50;;Granville;Asprod
5;LICENCE PROFESSIONNELLE;4;7;76;;Saint Etienne du Rouvray;Isii-tec
6;LICENCE PROFESSIONNELLE;4;2;50;;Beaumont Hague;ORANO DS


