code_entreprise|code_etablissement|departement|ville|nom_etablissement|code_naf
000325175|00057|13|MARSEILLE 4|MONSIEUR THIERRY JANOYER|3212Z
005420021|00056|80|ABBEVILLE|ETABLISSEMENTS LUCIEN BIQUEZ|4669B
005420120|00015|80|RUE|SOCIETE DES SUCRERIES DU MARQUENTERRE|1081Z
005420120|00023|62|RANG DU FLIERS|SOCIETE DES SUCRERIES DU MARQUENTERRE|5210B
005420120|00031|62|MARCONNELLE|SOCIETE DES SUCRERIES DU MARQUENTERRE|7010Z
005420120|00049|62|CONCHIL LE TEMPLE|SOCIETE DES SUCRERIES DU MARQUENTERRE|4675Z
005440110|00061|04|DIGNE-LES-BAINS|MONSIEUR RENE CAMAU|6820B
005440565|00017|04|SISTERON|MONSIEUR LEONCE MICHEL|6820B
005450093|00033|04|GREOUX LES BAINS|BASALPINE AUTOCARS|4778C
005450093|00041|04|GREOUX LES BAINS|BASALPINE AUTOCARS|4771Z
005450119|00028|04|DIGNE-LES-BAINS|LE GRAND CAFE ET GASSENDI|7010Z
005450119|00036|04|DIGNE-LES-BAINS|LE GRAND CAFE ET GASSENDI|5630Z
005471800|00028|44|GUERANDE|MONSIEUR ALFIERO TURCHI|6820B
005472980|00019|44|CORDEMAIS|MONSIEUR HENRI DOCEUL|6820B
005473202|00025|44|COUERON|MONSIEUR HENRI MARTIN|6820B
005474960|00019|44|SAINT NAZAIRE|MADAME MARIA BRAKL|6820B
005480546|00018|44|GUERANDE|SOCIETE DE DISTRIBUTION DE PAPIER|1712Z
005520028|00019|80|DARGNIES|ETABLISSEMENTS SUEUR ET FILS|6820B
005520077|00016|80|FEUQUIERES EN VIMEU|ETABLISSEMENTS MERCIER|2572Z
005520176|00016|80|FEUQUIERES EN VIMEU|HERNAS CARTONNAGE|1721A
005520176|00032|80|CHEPY|HERNAS CARTONNAGE|1721A
005520242|00016|80|LONGPRE LES CORPS SAINTS|PROSPA|2030Z
005520325|00019|80|DARGNIES|ETABLISSEMENTS ADRIEN RIQUIER|4674B
005540273|00025|04|BARREME|MONSIEUR PAUL POILROUX|6820B
005540661|00021|04|DIGNE-LES-BAINS|MADAME MARIE AVON|6820B
005541206|00024|04|ENTREVAUX|MONSIEUR ANDRE RIZZO|6820B
005541438|00023|04|DIGNE-LES-BAINS|MONSIEUR GILBERT CHASPOUL|6820B
005541552|00013|04|BEAUVEZER|ETABLISSEMENTS BONNET FRERES|5510Z
005541552|00039|04|ALLOS|ETABLISSEMENTS BONNET FRERES|5610C
005541867|00023|83|LES ARCS|MONSIEUR ROBERT JAUFFRET|6820B
005550108|00012|04|SEYNE LES ALPES|EMILE BARNEAUD ET FILS|4932Z
005577325|00029|44|GUERANDE|MONSIEUR ANDRE BARON|6820B
005580113|00032|44|SAINT NAZAIRE|L ABRI FAMILIAL|6820A
005580436|00060|85|MOUCHAMPS|BAUDINVEST|7022Z
005580501|00012|44|SAINT NAZAIRE|SOC GLACIERES FRIGO SAINT NAZAIRE|5210A
005580501|00046|75|PARIS 8|SOC GLACIERES FRIGO SAINT NAZAIRE|5210A
005611074|00013|80|ABBEVILLE|MONSIEUR GERARD BOURGEOIS|0142Z
005620034|00016|80|ABBEVILLE|ETABLISSEMENTS ROGER|4673A
005620034|00024|76|ROUXMESNIL BOUTEILLES|ETABLISSEMENTS ROGER|4673A
005620117|00019|80|ABBEVILLE|ETABLISSEMENTS DUBOIS|4669B
005620117|00027|80|AMIENS|ETABLISSEMENTS DUBOIS|4669B
005620158|00013|80|QUEND|SNC BARRE|6820B
005620174|00028|80|HAM|SOCIETE RIQUIER ET CIE|4520A
005620174|00036|80|CAHON|SOCIETE RIQUIER ET CIE|4520A
005620190|00057|76|LE TREPORT|L OISEAU BLEU|4939A
005620190|00065|80|ABBEVILLE|L OISEAU BLEU|4939A
005620281|00013|80|ABBEVILLE|DEGOMME PIERRE|6820B
005640602|00024|04|SAINT PAUL SUR UBAYE|MONSIEUR ROGER TORMENTO|5630Z
005640602|00032|04|ENCHASTRAYES|MONSIEUR ROGER TORMENTO|9319Z
005641154|00025|04|BARCELONNETTE|MONSIEUR EMILE SICARD|6831Z
005650031|00015|04|ANNOT|SARL RIGAULT ET CIE|1013A
005650031|00023|04|ANNOT|SARL RIGAULT ET CIE|1013A
005650148|00033|04|DIGNE-LES-BAINS|SOC COOP PRODUCTION ALPES HTE PROVENCE|6820A
005670062|00032|44|PORNICHET|MONSIEUR ROGER LE MASSON|6820B
005671870|00011|44|GUERANDE|MADAME MARIE NOGUES|5510Z
005673348|00016|44|LA BAULE ESCOUBLAC|MADAME ROLANDE SEHIER|6820B
005675459|00019|44|PONTCHATEAU|MONSIEUR JEAN NOBLET|6820B
005680145|00017|44|MONTOIR DE BRETAGNE|PROMENS MONTOIR DE BRETAGNE SAS|2222Z
005680541|00025|44|GUERANDE|IMMOBILIERE ATELIERS DAVID|6820B
005720164|00028|80|ABBEVILLE|SA SAINTE ISABELLE|8610Z
005720313|00039|80|SAINT QUENTIN EN TOURMONT|SOCIETE ANONYME DES DUNES DE LA SOMME|6832A
005720362|00010|80|ABBEVILLE|TERNISIEN DUCLERCQ|4761Z
005720552|00032|80|BOUTTENCOURT|LALLOT PICARDIE|2573A
005720594|00034|80|ABBEVILLE|LES TRANSPORTS COMMERCIAUX|4941A
005720602|00043|92|CLICHY|SOC IMMOBILIERE MONOPRIX ABBEVILLE|6820B
005720610|00012|80|ABBEVILLE|PICARD MARITIME HAB FOND P DUCLERCQ|4110A
005720644|00011|80|RUE|ETABLISSEMENTS DEMORTAIN|4752A
005720651|00040|69|LYON 2EME|SA DES ETS RENE DUFOUR|6820B
005720685|00014|80|CAOURS|FORGEZ PERE ET FILS|1091Z
005720750|00016|80|ABBEVILLE|IMPRIMERIE F PAILLART|6820A
005720784|00015|80|FEUQUIERES EN VIMEU|ETABLISSEMENTS DECAYEUX|2599A
005720784|00031|80|FEUQUIERES EN VIMEU|ETABLISSEMENTS DECAYEUX|2572Z
005720784|00049|80|FEUQUIERES EN VIMEU|ETABLISSEMENTS DECAYEUX|4674A
005720784|00080|80|ABBEVILLE|ETABLISSEMENTS DECAYEUX|1621Z
005720784|00106|80|FEUQUIERES EN VIMEU|ETABLISSEMENTS DECAYEUX|2599A
005720784|00148|93|TREMBLAY EN FRANCE|ETABLISSEMENTS DECAYEUX|2599A
005720784|00155|80|ABBEVILLE|ETABLISSEMENTS DECAYEUX|2599A
005742580|00029|04|DIGNE-LES-BAINS|MONSIEUR LOUIS CHAUVIN|6820B
005750153|00016|04|CASTELLANE|TOURING HOTEL|5510Z
005750310|00020|04|CHAMPTERCIER|SCI GIGOT|6820A
005750377|00011|04|DIGNE-LES-BAINS|GARAGE GIRAUD|6820B
005750385|00030|04|ORAISON|ENTREPRISE COMBA|4399C
005750385|00055|04|ORAISON|ENTREPRISE COMBA|4399C
005750583|00048|04|BARCELONNETTE|SERVICE ASSISTANCE TRANSCATIONS AUTO|4730Z
005750583|00055|04|SAINT PONS|SERVICE ASSISTANCE TRANSCATIONS AUTO|4730Z
005772330|00022|44|AVESSAC|MONSIEUR ROBERT BOUGOUIN|6820B
005776505|00033|44|PONTCHATEAU|MONSIEUR BERNARD HERVE|6820B
005780044|00011|44|SAINT NAZAIRE|PEINTURES SYNTHETIQUES MODERNES|2030Z
005780051|00016|44|SAINT NAZAIRE|PHARMACIE CARE|6820B
005780226|00014|44|SAINT NAZAIRE|SOC LES MEUBLES MARGUY|4759A
005780226|00022|44|LA BAULE ESCOUBLAC|SOC LES MEUBLES MARGUY|4779Z
005780226|00055|44|SAINT NAZAIRE|SOC LES MEUBLES MARGUY|4759A
005780259|00023|44|SAINT ANDRE DES EAUX|HERMEL CHEMISERIE|6810Z
005780283|00031|44|GUERANDE|HALLEREAU ET COMPAGNIE|6820B
005780390|00026|44|LA CHAPELLE DES MARAIS|TRANSPORTS DE LA BRIERE|4939A
005780390|00034|44|SAINT NAZAIRE|TRANSPORTS DE LA BRIERE|4939A
005780515|00010|44|PORNICHET|SCI MAUDUIT|6820A
005780580|00030|75|PARIS 8|IMMOBILIERE LOUIS THIRIET|6430Z
005780960|00018|44|LA BAULE ESCOUBLAC|SOC IMM TOURIST HOTEL BAULE SITH BAULE|5510Z
005780960|00026|44|LA BAULE ESCOUBLAC|SOC IMM TOURIST HOTEL BAULE SITH BAULE|5510Z
005780960|00042|44|LA BAULE ESCOUBLAC|SOC IMM TOURIST HOTEL BAULE SITH BAULE|5610A
005780960|00059|44|LA BAULE ESCOUBLAC|SOC IMM TOURIST HOTEL BAULE SITH BAULE|9604Z
005780960|00067|44|LA BAULE ESCOUBLAC|SOC IMM TOURIST HOTEL BAULE SITH BAULE|9311Z
005780960|00075|44|LA BAULE ESCOUBLAC|SOC IMM TOURIST HOTEL BAULE SITH BAULE|5510Z
005780960|00083|44|SAINT ANDRE DES EAUX|SOC IMM TOURIST HOTEL BAULE SITH BAULE|9311Z
005780960|00109|44|LA BAULE ESCOUBLAC|SOC IMM TOURIST HOTEL BAULE SITH BAULE|5610A
005780960|00117|44|LA BAULE ESCOUBLAC|SOC IMM TOURIST HOTEL BAULE SITH BAULE|5510Z
005780960|00133|44|LA BAULE ESCOUBLAC|SOC IMM TOURIST HOTEL BAULE SITH BAULE|7010Z
005781133|00045|44|MONTOIR DE BRETAGNE|IDEA GROUPE|5229B
005781133|00052|44|MONTOIR DE BRETAGNE|IDEA GROUPE|5224A
005781133|00060|44|SAINT NAZAIRE|IDEA GROUPE|5224A
005811179|00018|80|ABBEVILLE|MONSIEUR RENE BOYAVAL|6820B
005820030|00038|80|BOUTTENCOURT|LE PONTHIEU AUTOMOBILE|7010Z
005820030|00046|80|ABBEVILLE|LE PONTHIEU AUTOMOBILE|4531Z
005820030|00061|80|CAMON|LE PONTHIEU AUTOMOBILE|4531Z
005820030|00079|80|FRIVILLE ESCARBOTIN|LE PONTHIEU AUTOMOBILE|4531Z
005820378|00031|80|ABBEVILLE|ENTREPRISE DEMOUSELLE|4321A
005820378|00122|02|MERCIN ET VAUX|ENTREPRISE DEMOUSELLE|4321A
005820378|00213|60|CREPY EN VALOIS|ENTREPRISE DEMOUSELLE|4321A
005820378|00221|76|DIEPPE|ENTREPRISE DEMOUSELLE|4321A
005820378|00239|80|ABBEVILLE|ENTREPRISE DEMOUSELLE|4321A
005820378|00247|80|ABBEVILLE|ENTREPRISE DEMOUSELLE|4321A
005820428|00018|80|NOYELLES EN CHAUSSEE|SOCIETE ANONYME DUCROCQ ET COMPAGNIE|4623Z
005820477|00015|80|FEUQUIERES EN VIMEU|ETABLISSEMENTS RAOUL DAVERGNE|2454Z
005850011|00015|04|SEYNE LES ALPES|ALP ENTREPRISE MACONNERIE|8211Z
005870027|00017|44|LA BAULE ESCOUBLAC|HOTEL LA CONCORDE|5510Z
005870779|00021|44|NANTES|MONSIEUR JEAN DOUCET|6820B
005870787|00016|44|LE CROISIC|MADAME FRANCINE JAN|6820B
005872692|00032|44|LA BAULE ESCOUBLAC|MONSIEUR JEAN BUINO|6820B
005872908|00040|44|LA BAULE ESCOUBLAC|MONSIEUR RAYMOND JULIEN|6820B
005873096|00019|44|SAINT NAZAIRE|MONSIEUR GILBERT BONHOMMEAU|6820B
005873450|00018|44|LE POULIGUEN|MONSIEUR JEAN AUDUREAU|5510Z
005873450|00026|44|LE POULIGUEN|MONSIEUR JEAN AUDUREAU|5510Z
005877972|00025|44|LE POULIGUEN|MONSIEUR MARCEL OLIVIER|6820B
005880596|00027|44|SAINT NICOLAS DE REDON|GEDIMO HOLDING|6420Z
005880679|00013|44|SAINT NAZAIRE|SA COOP INTER COLL ACCES PROP ST NAZ|4110A
005880679|00039|44|NANTES|SA COOP INTER COLL ACCES PROP ST NAZ|4110A
005880737|00019|44|SAINT NAZAIRE|ETABLISSEMENTS PITARD FRERES|6820B
005900501|00023|44|LA BAULE ESCOUBLAC|MADAME JEANNE DILHUIDY|6820B
005901657|00014|44|CONQUEREUIL|MONSIEUR GILBERT PHILIPPE|6820B
005910278|00018|80|LONGPRE LES CORPS SAINTS|MADAME GERMAINE VANDERPOOTEN|6820B
005911284|00015|80|ABBEVILLE|MONSIEUR CLAUDE JOUY|6820B
005912209|00011|80|ABBEVILLE|MONSIEUR RENE WERLE|6820B
005914999|00015|80|ABBEVILLE|INDIVISION DELECOURT|6820B
005920194|00015|80|BRAILLY CORNEHOTTE|SARL BEAUVISAGE TOULLET|4661Z
005920194|00023|80|NOUVION|SARL BEAUVISAGE TOULLET|4661Z
005920194|00031|80|FLIXECOURT|SARL BEAUVISAGE TOULLET|4661Z
005940416|00026|04|ORAISON|MONSIEUR HUBERT SILVI|6820B
005942016|00014|04|SAINT ANDRE LES ALPES|MONSIEUR JEAN CERATO|4399C
005942875|00013|04|BARCELONNETTE|INDIVISION MASSOT|5610C
005944103|00026|04|ENTREPIERRES|MADAME GERMAINE IMBERT|0111Z
005950134|00030|04|SISTERON|SARL ETABLISSEMENTS JULIEN ET VERAND|4520A
005950159|00029|04|DIGNE-LES-BAINS|SOCIETE BARNEAUD ET GIRAUD|4778B
005976048|00024|44|LA BAULE ESCOUBLAC|MONSIEUR ANDRE PERRAULT|6820A
005976048|00032|66|LE BARCARES|MONSIEUR ANDRE PERRAULT|6820A
005979737|00011|44|LE CROISIC|INDIVISION LE BLOHIC|6820B
005980016|00025|44|MONTOIR DE BRETAGNE|SOCIETE NAZAIRIENNE DE MECANIQUE|2562B
005980461|00023|44|PRINQUIAU|ENTREPRISE JUDIC|4399E
005980461|00031|44|TRIGNAC|ENTREPRISE JUDIC|4399E
006002216|00015|44|SAVENAY|MONSIEUR REMOND FRETAUD|6820B
006002216|00023|56|PENESTIN|MONSIEUR REMOND FRETAUD|6820A
006004238|00017|44|BOUVRON|MONSIEUR JEAN COUERON|6820B
006012611|00015|80|BELLANCOURT|MONSIEUR MARCEL CALIPPE|6820B
006013387|00029|80|QUEND|MONSIEUR EMILE ETIENNE|0150Z
006013742|00017|80|TOEUFLES|INDIVISION FLICOT GEORGES|6820B
006014724|00022|80|RUE|MONSIEUR GERARD THUILLIER|6820B
006020135|00031|80|EMBREVILLE|TERNOIS FONDERIE|2454Z
006020135|00049|80|EMBREVILLE|TERNOIS FONDERIE|2454Z
006040034|00016|04|LA CONDAMINE CHATELARD|MADAME ALINE SPITALIER|6820B
006040034|00024|04|DIGNE-LES-BAINS|MADAME ALINE SPITALIER|6820A
006040455|00021|04|GREOUX LES BAINS|MONSIEUR JEAN MARTEL|6820B
006040828|00011|04|CASTELLANE|MONSIEUR FORTUNE VINCENT|4520A
006041099|00018|04|CASTELLANE|MONSIEUR ANDRE TARDIEU|6820B
006041099|00034|04|CASTELLANE|MONSIEUR ANDRE TARDIEU|6820B
006044093|00018|04|VALENSOLE|MONSIEUR JACQUES DAVID|6820B
006044531|00017|04|BARCELONNETTE|MONSIEUR ROGER LANDO|4771Z
006044564|00034|04|SAINT PONS|MONSIEUR CHRISTIAN CHALLIER|0111Z
006044564|00042|04|BARCELONNETTE|MONSIEUR CHRISTIAN CHALLIER|6820B
006050074|00027|04|UVERNET FOURS|SEM ETUDES AMENA TOURI INDUST SPORT|6820B
006050108|00023|04|SISTERON|BLANC FRERES ET COMPAGNIE|4941B
006050116|00018|04|VALENSOLE|SOCIETE AGRICOLE A BLANCHET|0111Z
006074991|00016|44|LA BAULE ESCOUBLAC|MONSIEUR JEAN PERRIO|6820B
006076434|00023|44|PORNICHET|ETABLISSEMENTS PIED ET PERRAUD|4332A
006079206|00014|44|LE POULIGUEN|MADAME NICOLE CLENET|6820B
006080014|00068|75|PARIS 17|OUEST EUROPEENNE PARTICIP PLAC PROMO|6420Z
006080170|00043|75|PARIS 14|COOP BREIZH|6820B
006080170|00076|56|LORIENT|COOP BREIZH|4761Z
006080170|00084|29|SPEZET|COOP BREIZH|5811Z
006080170|00092|29|QUIMPER|COOP BREIZH|4761Z
006120109|00050|80|AMIENS|DEGUERVILLE|6420Z
006140032|00019|04|VALENSOLE|MONSIEUR ANDRE NEVIERE|6820B
006140032|00035|04|VALENSOLE|MONSIEUR ANDRE NEVIERE|6820B
006140750|00016|04|RIEZ|MONSIEUR HENRI BOMBANA|6820B
006141303|00047|04|LES MEES|MONSIEUR ANDRE TESTON|4776Z
006141303|00062|04|MANOSQUE|MONSIEUR ANDRE TESTON|4776Z
006141386|00018|04|MOUSTIERS SAINTE MARIE|MONSIEUR GEORGES SERRAILLER|6820B
006141535|00010|04|BARCELONNETTE|MONSIEUR GILLES DARRIOULAT|6820B
006141790|00045|83|ROQUEBRUNE SUR ARGENS|MONSIEUR JEAN REPAUX|5510Z
006150072|00012|04|ENCHASTRAYES|EXPLOIT REMONTEE MECANIQ SAUZE|6820B
006150106|00018|04|ENCHASTRAYES|SAVOURE PERE ET FILS|5510Z
006150106|00026|04|GREOUX LES BAINS|SAVOURE PERE ET FILS|7010Z
006150148|00010|04|ALLOS|LE DAHUT|5630Z
006172324|00029|74|COMBLOUX|MONSIEUR LUCIEN RIALLAND|6820A
006177430|00029|44|LE GAVRE|MONSIEUR HENRI PEROUZE|6820B
006179451|00015|44|SAINT NICOLAS DE REDON|MONSIEUR ROGER LECOQ|6820B
006180301|00019|44|SAINT NAZAIRE|SOCIETE FINANCIERE ATLANTIC|7010Z
006210041|00015|80|MIANNAY|MONSIEUR PIERRE BOINET|0812Z
006220065|00038|80|LE CROTOY|ENTREPRISES OSCAR SAVREUX|0812Z
006240196|00029|04|ENCHASTRAYES|MONSIEUR JEAN MERLE|9319Z
006240196|00037|04|ENCHASTRAYES|MONSIEUR JEAN MERLE|6820B
006241616|00017|04|SAINT ANDRE LES ALPES|MONSIEUR JHOSEPH DALMASSY|6820B
006241657|00011|04|BLIEUX|MADAME LUCIENNE COLLOMP|5630Z
006250104|00012|04|L' ESCALE|SICA DES PAVE CONDITIONN FRUIT|4631Z
006270078|00014|44|BLAIN|MONSIEUR MARCEL GOIZET|0142Z
006270078|00022|44|PORNICHET|MONSIEUR MARCEL GOIZET|6820A
006270383|00018|44|PRINQUIAU|MADAME THERESE DON|6820B
006272801|00033|44|PONTCHATEAU|MONSIEUR JEAN CLOUET|6820B
006272801|00041|44|PONTCHATEAU|MONSIEUR JEAN CLOUET|6820B
006280234|00078|44|GUERANDE|LE GAL|4778C
006280234|00094|44|MONTOIR DE BRETAGNE|LE GAL|9603Z
006280234|00110|44|LA BAULE ESCOUBLAC|LE GAL|9603Z
006280234|00136|44|SAINT NAZAIRE|LE GAL|4778C
006280234|00151|56|NIVILLAC|LE GAL|4778C
006280234|00169|35|REDON|LE GAL|2370Z
006280234|00177|44|SAINT BREVIN LES PINS|LE GAL|2370Z
006280234|00185|44|PAIMBOEUF|LE GAL|9603Z
006280234|00193|44|SAINT PERE EN RETZ|LE GAL|9603Z
006280234|00201|44|SAINT BREVIN LES PINS|LE GAL|9603Z
006280234|00219|44|SAVENAY|LE GAL|9603Z
006280234|00227|44|SAVENAY|LE GAL|9603Z
006280234|00235|44|LA BAULE ESCOUBLAC|LE GAL|9603Z
006280234|00250|44|SAINT NAZAIRE|LE GAL|9603Z
006280234|00268|44|SAINT NAZAIRE|LE GAL|9603Z
006280309|00011|44|DONGES|COMP ATLAN DONGEOIS DISTRI APPRO CONST|2363Z
006280309|00029|44|GUERANDE|COMP ATLAN DONGEOIS DISTRI APPRO CONST|2363Z
006280309|00045|44|DONGES|COMP ATLAN DONGEOIS DISTRI APPRO CONST|2363Z
006280309|00078|44|LE LOROUX BOTTEREAU|COMP ATLAN DONGEOIS DISTRI APPRO CONST|2363Z
006280309|00086|85|SAINT VINCENT SUR JARD|COMP ATLAN DONGEOIS DISTRI APPRO CONST|4752B
006280309|00094|29|RIEC-SUR-BELON|COMP ATLAN DONGEOIS DISTRI APPRO CONST|2363Z
006310650|00038|75|PARIS 11|MONSIEUR MARC DOUTRELEAU|6820A
006310965|00022|06|MANDELIEU LA NAPOULE|MONSIEUR ANDRE BLONDIAUX|6820A
006320048|00017|80|VRON|SOCIETE DE MOISMONT|6820B
006340251|00021|04|LA CONDAMINE CHATELARD|MONSIEUR RENE BRES|6820B
006340434|00015|04|DIGNE-LES-BAINS|MADAME LYDIA SAMMUT|6820B
006341234|00018|04|RIEZ|MONSIEUR ETIENNE BLANCHETON|6820B
006341374|00020|04|JAUSIERS|MONSIEUR FERNAND CLARIOND|0111Z
006341887|00013|04|COLMARS|MONSIEUR RENE BLANC|4399C
006341887|00021|04|COLMARS|MONSIEUR RENE BLANC|6820A
006341887|00039|83|PUGET VILLE|MONSIEUR RENE BLANC|0121Z
006341945|00019|04|SEYNE LES ALPES|MONSIEUR JEAN CHABRAND|4764Z
006341945|00027|04|UBAYE-SERRE-PONCON|MONSIEUR JEAN CHABRAND|5610A
006350102|00015|04|VALENSOLE|SA IMMOB AGRIC DOM GRDE FUSTE|6820B
006350193|00030|04|MANOSQUE|ALPES AUTOMOBILES GARAGE DECAROLI|6820B
006371470|00011|44|QUILLY|MONSIEUR MARCEL ORAIN|6820B
006371470|00037|44|QUILLY|MONSIEUR MARCEL ORAIN|6820B
006380042|00033|12|CAPDENAC GARE|LABORATOIRE NUTERGIA|1086Z
006380042|00041|12|CAPDENAC GARE|LABORATOIRE NUTERGIA|5210B
006380042|00058|12|VILLENEUVE|LABORATOIRE NUTERGIA|5210B
006380117|00025|44|GUERANDE|IMPRIMMO|6810Z
006380158|00045|44|TRIGNAC|ESPACE DOMICILE SA HABITAT LOYER MODER|6820A
006380315|00058|44|TRIGNAC|HORIZON AUTOMOBILES|4511Z
006410120|00023|80|ABBEVILLE|MONSIEUR GUY MEHAY|6831Z
006411136|00010|80|CRECY EN PONTHIEU|MADAME ALINE DURAND|6820B
006412084|00045|76|ISNEAUVILLE|MONSIEUR RENE BLOSSEVILLE|6820B
006412084|00052|76|MONT-SAINT-AIGNAN|MONSIEUR RENE BLOSSEVILLE|6820B
006412209|00030|80|LE CROTOY|MONSIEUR GUY DEROSIERE|0311Z
006440374|00020|04|CHAMPTERCIER|MONSIEUR GUSTAVE MASCHIO|6820B
006440648|00019|04|THORAME HAUTE|MONSIEUR ANDRE ILLY|6820B
006441729|00016|04|ORAISON|MONSIEUR DANIEL BULTEZ|6820B
006442032|00014|04|DIGNE-LES-BAINS|MADAME JEANNINE VENTRE|6820B
006450043|00028|04|ORAISON|SOC FABRI ALIMENT PROV SOFALIP|1039B
006450225|00021|13|LAMBESC|LOU SAN PEYRE|6420Z
006472518|00015|44|LA TURBALLE|MONSIEUR PIERRE HUDAULT|6820B
006472948|00014|44|LA TURBALLE|RENAUDIN GUSTAVE INDIVISION|6820B
006474167|00019|44|LA CHAPELLE DES MARAIS|BELLIOT GUIHENEUF AGNES INDIV|5630Z
006474696|00025|44|SAINT JOACHIM|MONSIEUR MARC PEZERON|4332A
006474779|00029|44|LE POULIGUEN|MONSIEUR JEAN SENAND|6820B
006480065|00017|44|MONTOIR DE BRETAGNE|TRANSPORTS MORAND FRIGORIFIQUES|4941A
006480206|00017|44|GUENROUET|ETS GUILLET FRERES|1103Z
006480206|00025|10|CHAOURCE|ETS GUILLET FRERES|6820B
006480248|00043|44|PORNICHET|ETABLISSEMENTS H BRETECHE ET COMPAGNIE|6820B
006510465|00039|80|RUE|MONSIEUR RICHARD BRUANT|6820B
006512057|00032|80|ABBEVILLE|MONSIEUR ROGER VANDEKERCKHOVE|6820B
006512131|00019|80|ABBEVILLE|MONSIEUR JEAN DECARNE|4110A
006512289|00031|80|ABBEVILLE|MONSIEUR RENE HANNEDOUCHE|6820B
006520126|00019|80|ARGOULES|SARL LE GROS TILLEUL|5510Z
006520266|00021|80|DRUCAT|TRANSPORTS LEROY ET FILS|4941B
006540629|00026|04|DIGNE-LES-BAINS|MONSIEUR JEAN PAYAN|4752A
006541445|00026|04|ENCHASTRAYES|MONSIEUR MAX REYNET|6820B
006541445|00042|04|BARCELONNETTE|MONSIEUR MAX REYNET|6820B
006570501|00020|44|LE POULIGUEN|MADAME GINETTE LEBERRE|6820B
006570550|00019|44|GUEMENE PENFAO|MONSIEUR GILBERT BELAY|6820B
006572291|00018|44|BLAIN|MONSIEUR JEAN BADEAU|6820B
006572317|00029|44|LA BAULE ESCOUBLAC|MADAME JOSIANE BERTAUX|4789Z
006572572|00011|44|LE CROISIC|MONSIEUR BERNARD CADRO|6820B
006573273|00023|44|MALVILLE|MONSIEUR LEON ARTUS|0111Z
006573331|00011|44|MARSAC SUR DON|MONSIEUR JEAN PROVOST|6820B
006573901|00011|44|PORNICHET|MADAME MARIE CADY|6820B
006573901|00037|44|PORNICHET|MADAME MARIE CADY|6820B
006574586|00027|44|SAINT NAZAIRE|MONSIEUR JEAN BOMAL|6820B
006574586|00035|44|SAINT NAZAIRE|MONSIEUR JEAN BOMAL|9003B
006580161|00013|44|SAINTE REINE DE BRETAGNE|PRODUITS BETON MATERIAUX CONSTRUCTION|2363Z
006580195|00011|44|SAINT NAZAIRE|SOC INDUST POUR DEVELOPP SECURITE|2910Z
006580468|00012|44|MISSILLAC|SOCIETE FONCIERE DU GOLF DE LA BRETESC|6820B
006580468|00038|44|NANTES|SOCIETE FONCIERE DU GOLF DE LA BRETESC|7010Z
006610836|00014|80|PONTHOILE|MONSIEUR JACQUES MARCHAND|5610A
006611313|00013|80|ABBEVILLE|MADAME MARIE FORTIER|6820B
006611966|00034|80|FRUCOURT|MONSIEUR JEAN PIERRE LEPAGE|0210Z
006620066|00016|80|GAMACHES|CAOUTCHOUCS MODERNES|2219Z
006620124|00021|80|BEAUCHAMPS|DECOUPAGE ET MOULAGE D ELASTOMERES|2219Z
006620124|00039|80|BEAUCHAMPS|DECOUPAGE ET MOULAGE D ELASTOMERES|2219Z
006620165|00024|80|BERNAVILLE|ETABLISSEMENTS BOULY ET COMPAGNIE|4754Z
006640304|00025|04|SISTERON|MONSIEUR MAURICE ESPITALIER|6820B
006640668|00023|04|ALLOS|MADAME COLETTE BLANC|4773Z
006641641|00029|04|ORAISON|MONSIEUR MARCEL LATIL|6820B
006641658|00015|04|THOARD|MADAME LOUISE CONTARD|6820B
006641823|00056|04|DIGNE-LES-BAINS|MONSIEUR PHILIPPE PLOGE|6820B
006650089|00037|04|DIGNE-LES-BAINS|HABITATIONS DE HAUTE PROVENCE|6820A
006650089|00045|04|AIGLUN|HABITATIONS DE HAUTE PROVENCE|6820A
006650089|00052|04|MANOSQUE|HABITATIONS DE HAUTE PROVENCE|6820B
006650097|00014|04|CASTELLANE|DOMAINE DU VERDON|5530Z
006650113|00027|04|DEMANDOLX|SOC FONCIERE CASTILLON DEMANDOLX|4110A
006671069|00026|44|TREFFIEUX|MONSIEUR JEAN DIGUET|9003A
006674113|00011|44|LA BAULE ESCOUBLAC|INDIVISION JEFFROY|6820B
006680219|00018|44|LA BAULE ESCOUBLAC|CHATELLIER|1071C
006680219|00034|44|LA BAULE ESCOUBLAC|CHATELLIER|4724Z
006680219|00059|44|PORNICHET|CHATELLIER|1071C
006680219|00067|44|LA BAULE ESCOUBLAC|CHATELLIER|1071C
006710123|00024|80|EAUCOURT SUR SOMME|MONSIEUR JOEL DHEILLY|6820B
006710511|00020|76|LONGROY|MONSIEUR GASTON DUFOSSE|0143Z
006710875|00045|80|VISMES|MONSIEUR JACQUES DUCROCQ|0111Z
006711014|00016|80|GAMACHES|MONSIEUR MARC DEBEAUVAIS|7420Z
006711428|00026|80|VERCOURT|MONSIEUR HUBERT GAMBERT|0149Z
006711964|00012|80|RUE|MONSIEUR RENE POUPEE|6820B
006720049|00029|76|SAINT ETIENNE DU ROUVRAY|BORFLEX SERVICES|7010Z
006720064|00028|80|AMIENS|LE PALAIS DE L AUTOMOBILE ABBEVILLE|7010Z
