code;type_diplôme;q6_7;q6_8;q6_9a;q6_9b;q6_9c;q6_14_6
2;MASTER;2;11;14;;PONT-l'EVEQUE;Centre hospitalier public
4;MASTER;4;7;75;;PARIS;HITRONETIC
10;MASTER;2;10;75;;Paris;Ministère des Armées
14;MASTER;5;13;75;;Paris;Paris & Compagnie

